# Logfile created on 2026-09-10 11:36:52 +0200 by logger.rb/v1.5.3
2026-09-10 11:36:53 +0200: Memory Usage (471604K) : baspoly_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (471868K) : baspoly_pin has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (471868K) : psd_drw has 1463 polygons
2026-09-10 11:36:53 +0200: Memory Usage (471868K) : nldb_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (471868K) : digibnd_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (472396K) : via1_drw has 20911 polygons
2026-09-10 11:36:53 +0200: Memory Usage (472396K) : backmetal1_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (472640K) : backmetal1_pin has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (472640K) : backmetal1_mask has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (472640K) : backmetal1_filler has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (472640K) : backmetal1_nofill has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (472900K) : backmetal1_slit has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (472900K) : backmetal1_text has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (472900K) : backmetal1_opc has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (473048K) : backmetal1_noqrc has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (473048K) : backmetal1_res has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (473048K) : backmetal1_iprobe has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (473308K) : backmetal1_diffprb has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (473308K) : backpassiv_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (473308K) : res_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (473308K) : sram_drw has 0 polygons
2026-09-10 11:36:53 +0200: Memory Usage (473308K) : trans_drw has 0 polygons
