# Logfile created on 2026-04-27 07:52:32 +0200 by logger.rb/v1.4.3
2026-04-27 07:52:33 +0200: Memory Usage (439308K) : baspoly_pin has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439572K) : psd_drw has 158 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439572K) : nldb_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439572K) : digibnd_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439572K) : via1_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439572K) : backmetal1_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439572K) : backmetal1_pin has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439572K) : backmetal1_mask has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439836K) : backmetal1_filler has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439836K) : backmetal1_nofill has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439836K) : backmetal1_slit has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439836K) : backmetal1_text has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439836K) : backmetal1_opc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (439836K) : backmetal1_noqrc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440100K) : backmetal1_res has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440100K) : backmetal1_iprobe has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440100K) : backmetal1_diffprb has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440100K) : backpassiv_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440100K) : res_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440100K) : sram_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440100K) : trans_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440364K) : ind_drw has 1 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440364K) : ind_pin has 2 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440364K) : ind_text has 2 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440364K) : salblock_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440684K) : via2_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440684K) : metal3_drw has 2 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440684K) : metal3_pin has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440684K) : metal3_mask has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440684K) : metal3_filler has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440948K) : metal3_nofill has 1 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440948K) : metal3_slit has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440948K) : metal3_text has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440948K) : metal3_opc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (440948K) : metal3_noqrc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441212K) : metal3_res has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441212K) : metal3_iprobe has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441212K) : metal3_diffprb has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441212K) : nwell_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441212K) : nwell_pin has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441212K) : nbulay_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441476K) : nbulay_pin has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441476K) : nbulay_block has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441476K) : emwind_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441476K) : emwind_opc has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441476K) : deepco_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441740K) : deepco_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441740K) : mim_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441740K) : edgeseal_drw has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441740K) : edgeseal_bound has 0 polygons
2026-04-27 07:52:33 +0200: Memory Usage (441740K) : substrate_drw has 154 polygons
