# Logfile created on 2026-04-16 20:29:26 +0200 by logger.rb/v1.4.3
2026-04-16 20:29:26 +0200: Memory Usage (430108K) : gatpoly_filler has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (430108K) : gatpoly_nofill has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (430108K) : gatpoly_opc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (430108K) : gatpoly_iopc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (430108K) : gatpoly_noqrc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (432588K) : cont_drw has 16832 polygons
2026-04-16 20:29:26 +0200: Memory Usage (432588K) : cont_opc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (432588K) : nsd_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (432588K) : nsd_block has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (432588K) : metal1_drw has 3926 polygons
2026-04-16 20:29:26 +0200: Memory Usage (432588K) : metal1_pin has 1616 polygons
2026-04-16 20:29:26 +0200: Memory Usage (432588K) : metal1_mask has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (432588K) : metal1_filler has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (432912K) : metal1_nofill has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (432912K) : metal1_slit has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (432912K) : metal1_text has 1605 polygons
2026-04-16 20:29:26 +0200: Memory Usage (432912K) : metal1_opc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (432912K) : metal1_noqrc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (432912K) : metal1_res has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433352K) : metal1_iprobe has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433352K) : metal1_diffprb has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433352K) : passiv_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433352K) : passiv_pin has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433352K) : passiv_sbump has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433352K) : passiv_pillar has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433616K) : passiv_pdl has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433616K) : metal2_drw has 617 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433616K) : metal2_pin has 1 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433616K) : metal2_mask has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433616K) : metal2_filler has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433616K) : metal2_nofill has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433880K) : metal2_slit has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433880K) : metal2_text has 1 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433880K) : metal2_opc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433880K) : metal2_noqrc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433880K) : metal2_res has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (433880K) : metal2_iprobe has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434144K) : metal2_diffprb has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434144K) : baspoly_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434144K) : baspoly_pin has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434144K) : psd_drw has 1089 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434144K) : nldb_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434408K) : digibnd_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434408K) : via1_drw has 637 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434408K) : backmetal1_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434408K) : backmetal1_pin has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434408K) : backmetal1_mask has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434672K) : backmetal1_filler has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434672K) : backmetal1_nofill has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434672K) : backmetal1_slit has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434672K) : backmetal1_text has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434672K) : backmetal1_opc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434936K) : backmetal1_noqrc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434936K) : backmetal1_res has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434936K) : backmetal1_iprobe has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434936K) : backmetal1_diffprb has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (434936K) : backpassiv_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435200K) : res_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435200K) : sram_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435200K) : trans_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435200K) : ind_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435200K) : ind_pin has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435200K) : ind_text has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435200K) : salblock_drw has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435464K) : via2_drw has 440 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435464K) : metal3_drw has 179 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435464K) : metal3_pin has 5 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435464K) : metal3_mask has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435464K) : metal3_filler has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435728K) : metal3_nofill has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435728K) : metal3_slit has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435728K) : metal3_text has 5 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435728K) : metal3_opc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435728K) : metal3_noqrc has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435992K) : metal3_res has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435992K) : metal3_iprobe has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435992K) : metal3_diffprb has 0 polygons
2026-04-16 20:29:26 +0200: Memory Usage (435992K) : nwell_drw has 542 polygons
