# Logfile created on 2026-09-09 22:37:20 +0200 by logger.rb/v1.4.3
2026-09-09 22:37:20 +0200: Memory Usage (437120K) : baspoly_pin has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (437384K) : psd_drw has 60 polygons
2026-09-09 22:37:20 +0200: Memory Usage (437384K) : nldb_drw has 0 polygons
2026-09-09 22:37:20 +0200: Memory Usage (437384K) : digibnd_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (437384K) : via1_drw has 1004 polygons
2026-09-09 22:37:21 +0200: Memory Usage (437384K) : backmetal1_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (437648K) : backmetal1_pin has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (437648K) : backmetal1_mask has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (437648K) : backmetal1_filler has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (437648K) : backmetal1_nofill has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (437648K) : backmetal1_slit has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (437912K) : backmetal1_text has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (437912K) : backmetal1_opc has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (437912K) : backmetal1_noqrc has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (437912K) : backmetal1_res has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (437912K) : backmetal1_iprobe has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (437912K) : backmetal1_diffprb has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (437912K) : backpassiv_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438176K) : res_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438176K) : sram_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438176K) : trans_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438176K) : ind_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438176K) : ind_pin has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438176K) : ind_text has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438176K) : salblock_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438440K) : via2_drw has 853 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438440K) : metal3_drw has 107 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438440K) : metal3_pin has 3 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438440K) : metal3_mask has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438704K) : metal3_filler has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438704K) : metal3_nofill has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438704K) : metal3_slit has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438704K) : metal3_text has 3 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438704K) : metal3_opc has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438704K) : metal3_noqrc has 1 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438968K) : metal3_res has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438968K) : metal3_iprobe has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438968K) : metal3_diffprb has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438968K) : nwell_drw has 15 polygons
2026-09-09 22:37:21 +0200: Memory Usage (438968K) : nwell_pin has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (439232K) : nbulay_drw has 26 polygons
2026-09-09 22:37:21 +0200: Memory Usage (439232K) : nbulay_pin has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (439232K) : nbulay_block has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (439232K) : emwind_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (439232K) : emwind_opc has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (439496K) : deepco_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (439496K) : deepco_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (439496K) : mim_drw has 1 polygons
2026-09-09 22:37:21 +0200: Memory Usage (439496K) : edgeseal_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (439496K) : edgeseal_bound has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (439760K) : substrate_drw has 43 polygons
2026-09-09 22:37:21 +0200: Memory Usage (439760K) : substrate_text has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (439760K) : dfpad_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (439760K) : dfpad_pillar has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (439760K) : dfpad_sbump has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440024K) : thickgateox_drw has 2 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440024K) : pldb_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440024K) : pwell_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440024K) : pwell_pin has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440024K) : pwell_block has 1 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440288K) : ic_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440288K) : via3_drw has 939 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440288K) : metal4_drw has 32 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440288K) : metal4_pin has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440288K) : metal4_mask has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440288K) : metal4_filler has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440552K) : metal4_nofill has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440552K) : metal4_slit has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440552K) : metal4_text has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440552K) : metal4_opc has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440552K) : metal4_noqrc has 1 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440816K) : metal4_res has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440816K) : metal4_iprobe has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440816K) : metal4_diffprb has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440816K) : heattrans_drw has 91 polygons
2026-09-09 22:37:21 +0200: Memory Usage (440816K) : heatres_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441080K) : pempoly_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441080K) : fbe_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441080K) : empoly_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441080K) : ldmos_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441080K) : pbiwind_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441344K) : digisub_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441344K) : nodrc_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441344K) : text_drw has 36 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441344K) : via4_drw has 900 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441344K) : metal5_drw has 19 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441344K) : metal5_pin has 3 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441608K) : metal5_mask has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441608K) : metal5_filler has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441608K) : metal5_nofill has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441608K) : metal5_slit has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441608K) : metal5_text has 1 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441608K) : metal5_opc has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441872K) : metal5_noqrc has 1 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441872K) : metal5_res has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441872K) : metal5_iprobe has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441872K) : metal5_diffprb has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (441872K) : radhard_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442136K) : memcap_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442136K) : varicap_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442136K) : flash_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442136K) : intbondvia_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442136K) : intbondmet_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442400K) : devbondvia_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442400K) : devbondmet_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442400K) : devtrench_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442400K) : redist_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442400K) : graphbot_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442664K) : graphtop_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442664K) : antvia1_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442664K) : antmetal2_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442664K) : graphcont_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442664K) : siwg_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442928K) : siwg_filler has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442928K) : siwg_nofill has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442928K) : sigrating_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442928K) : singrating_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (442928K) : graphpas_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443192K) : emwind3_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443192K) : emwihv3_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443192K) : redbulay_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443192K) : smos_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443192K) : graphpad_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443456K) : polimide_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443456K) : polimide_pin has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443456K) : recog_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443456K) : recog_pin has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443456K) : recog_esd has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443720K) : recog_diode has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443720K) : recog_tsv has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443720K) : recog_iprobe has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443720K) : recog_diffprb has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443720K) : recog_pillar has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443984K) : recog_sbump has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443984K) : recog_otp has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443984K) : recog_pdiode has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443984K) : recog_mom has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (443984K) : recog_momf has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (444248K) : recog_pcm has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (444248K) : colopen_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (444248K) : graphmetal1_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (444248K) : graphmetal1_filler has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (444248K) : graphmetal1_nofill has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (444512K) : graphmetal1_slit has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (444512K) : graphmetal1_opc has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (444512K) : graphmet1l_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (444512K) : graphmet1l_filler has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (444512K) : graphmet1l_nofill has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (444776K) : graphmet1l_slit has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (444776K) : graphmet1l_opc has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (444776K) : extblock_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (444776K) : nldd_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (444776K) : pldd_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (445040K) : next_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (445040K) : pext_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (445040K) : nexthv_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (445040K) : pexthv_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (445040K) : graphgate_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (445040K) : sinwg_drw has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (445040K) : sinwg_filler has 0 polygons
2026-09-09 22:37:21 +0200: Memory Usage (445040K) : sinwg_nofill has 0 polygons
