# Logfile created on 2026-04-18 15:03:27 +0200 by logger.rb/v1.4.3
2026-04-18 15:03:27 +0200: Memory Usage (432616K) : activ_nofill has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (432616K) : activ_opc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (432616K) : activ_iopc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (433816K) : activ_noqrc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (433816K) : biwind_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (433816K) : biwind_opc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (433816K) : pemwind_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (433816K) : gatpoly_drw has 90 polygons
2026-04-18 15:03:27 +0200: Memory Usage (433816K) : gatpoly_pin has 48 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434136K) : gatpoly_filler has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434136K) : gatpoly_nofill has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434136K) : gatpoly_opc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434136K) : gatpoly_iopc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434136K) : gatpoly_noqrc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434136K) : cont_drw has 5076 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434460K) : cont_opc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434460K) : nsd_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434460K) : nsd_block has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434460K) : metal1_drw has 247 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434904K) : metal1_pin has 99 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434904K) : metal1_mask has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434904K) : metal1_filler has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434904K) : metal1_nofill has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434904K) : metal1_slit has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434904K) : metal1_text has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (434904K) : metal1_opc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435228K) : metal1_noqrc has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435228K) : metal1_res has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435228K) : metal1_iprobe has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435228K) : metal1_diffprb has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435228K) : passiv_drw has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435228K) : passiv_pin has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435492K) : passiv_sbump has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435492K) : passiv_pillar has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435492K) : passiv_pdl has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435492K) : metal2_drw has 118 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435492K) : metal2_pin has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435756K) : metal2_mask has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435756K) : metal2_filler has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435756K) : metal2_nofill has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435756K) : metal2_slit has 0 polygons
2026-04-18 15:03:27 +0200: Memory Usage (435756K) : metal2_text has 0 polygons
